"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Treadmill Running","Run","","","","2022-05-09","","2438.72998046875","","","","","0.377303868532181","1.79499995708466","","72","","161","182","","","0.669216758039794","18.28","2","1","1","1","0","1","17","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-11","","1531.72998046875","","","","","0.565553307533264","0.751999974250793","","45","","123","150","","","0.311702881113046","6","17","6","4","7","0","0","0","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2022-05-11","","0","","","","","1.06065690517426","0","","","","145","169","","","0.950049164683607","106.2","9","10","6","4","2","5","28","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-05-11","","5246.2099609375","","","","","0.620154142379761","2.34999990463257","","74","","155","169","","","0.886838232199512","53.42","1","0","1","2","4","3","27","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-15","","7996.14990234375","","","","","1.51867663860321","1.46300005912781","","71","","155","175","","","0.545439654590122","50.57","0","2","7","19","9","6","48","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-16","","453.529998779297","","","","","0.247957780957222","0.508000016212463","","23","","127","168","","","0.448206148325125","5.33","7","3","1","2","1","0","1","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2022-05-18","","4216.39013671875","","","","","0.859718382358551","1.36199998855591","","66","","159","180","","","0.507784534029732","24.47","4","0","1","2","1","1","43","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-18","","0","","","","","0.581716358661652","0","","","","138","166","","","0.896402456843259","51.08","6","5","3","6","2","7","6","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-05-19","","4828","","","","","0.580562174320221","2.30999994277954","","73","","148","160","","","0.849514879689307","45.79","1","1","2","11","9","7","4","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2022-05-19","","7659.43017578125","","","","","0.492903888225555","4.31699991226196","","","","125","172","","","0.765084622158518","31.41","11","5","5","5","2","1","1","","","","","","","","","","","","","","",""
