Date,WorkoutType,DistanceInMeters,Calories,TimeTotalInHours,HeartRateAverage
2024-03-15,SwimRun,558.8,936.0,72.33333333333333,289.0
2024-03-19,BikeRunBike,57.31,1591.0,156.13333333333333,422.0
2024-03-20,Bike,0.0,333.0,41.9,120.0
2024-03-21,Run,5.76,429.0,36.583333333333336,140.0
2024-03-22,BikeBike,25.58,533.0,61.266666666666666,264.0
2024-03-24,BikeBikeBike,91.71000000000001,1912.0,210.03333333333333,402.0
2024-03-26,BikeRun,4.4,758.0,78.11666666666667,252.0
2024-04-02,RunBike,27.439999999999998,1239.0,116.46666666666667,277.0
2024-04-04,BikeRun,3.91,811.0,80.30000000000001,268.0
2024-04-11,BikeBike,59.64,1351.0,123.31666666666666,286.0
2024-04-12,Run,7.1,486.0,50.016666666666666,133.0
2024-04-13,BikeBike,72.65,1577.0,156.08333333333331,281.0
2024-04-16,SwimRunBike,829.67,906.0,80.93333333333334,403.0
2024-04-17,BikeBike,73.5,1582.0,150.61666666666667,284.0
2024-04-19,Bike,14.48,313.0,42.8,116.0
2024-04-21,BikeBike,92.03,1615.0,190.05,256.0
2024-04-23,BikeRun,6.39,758.0,77.26666666666668,263.0
2024-04-25,BikeBike,76.13,1535.0,165.31666666666666,272.0
2024-04-28,Run,8.43,674.0,55.4,153.0
2024-05-06,Run,4.88,481.0,38.25,149.0
2024-05-10,Bike,21.34,456.0,44.21666666666667,136.0
2024-05-13,BikeBike,24.16,685.0,71.76666666666667,260.0
2024-05-14,Run,4.88,515.0,42.63333333333333,148.0
2024-05-15,BikeBike,31.7,655.0,71.94999999999999,253.0
2024-05-19,Run,8.37,643.0,62.833333333333336,135.0
2024-05-21,Run,8.53,631.0,54.28333333333333,139.0
2024-05-23,Bike,17.06,350.0,36.63333333333333,128.0
2024-05-24,BikeRun,33.08,1235.0,125.76666666666668,270.0
2024-05-28,Run,9.46,599.0,68.06666666666666,130.0
2024-05-30,Run,8.17,548.0,52.21666666666667,139.0
2024-06-02,Bike,22.07,507.0,51.0,131.0
2024-06-03,Run,7.04,543.0,55.233333333333334,133.0
2024-06-07,Swim,525.0,172.0,16.233333333333334,122.0
2024-06-09,Run,7.13,544.0,44.8,145.0
2024-06-18,Run,9.44,729.0,63.71666666666667,149.0
2024-06-24,Swim,1.0,251.0,22.833333333333332,136.0
2024-06-25,SwimRun,529.31,446.0,39.95,267.0
