Date,ATL
2024-09-05,14.911664324373051
2024-09-06,12.92659225129222
2024-09-07,11.205777141727172
2024-09-08,9.714040553689044
2024-09-09,8.42088707327005
2024-09-10,7.299880900109795
2024-09-11,6.3281054231136435
2024-09-12,5.485694738586489
2024-09-13,4.755427533656477
2024-09-14,4.122375032790313
2024-09-15,3.573595810407852
2024-09-16,3.097871230682407
2024-09-17,2.6854761061504755
2024-09-18,2.32797988672902
2024-09-19,2.0180743148683185
2024-09-20,1.7494240236128347
2024-09-21,1.5165370233620061
2024-09-22,1.314652429705448
2024-09-23,1.1396431371645321
2024-09-24,0.9879314492098977
2024-09-25,0.8564159397882294
2024-09-26,0.7424080511961982
2024-09-27,0.6435771321785856
2024-09-28,0.5579027926702173
2024-09-29,0.48363360117471893
2024-09-30,0.4192512804349573
