,CTL
2024-06-06,32.77797491438927
2024-06-07,32.09564734140775
2024-06-08,31.34049089366001
2024-06-09,31.366789159021526
2024-06-10,30.62878151497505
2024-06-11,29.908137946030738
2024-06-12,29.204449904788593
2024-06-13,28.517318456279863
2024-06-14,27.846354051802745
2024-06-15,27.191176308079356
2024-06-16,26.551413791608766
2024-06-17,25.926703808093844
2024-06-18,26.4888489081684
2024-06-19,25.86561097083563
2024-06-20,25.257036770982634
2024-06-21,24.66278129559914
2024-06-22,24.082507649249088
2024-06-23,29.3245649775921
2024-06-24,28.827940721156615
2024-06-25,28.765457924160927
2024-06-26,28.088655216529556
2024-06-27,27.427776535077946
2024-06-28,26.782447214328382
2024-06-29,26.152301404049908
2024-06-30,25.964183271701383
2024-07-01,25.35328983186621
2024-07-02,24.756769684305567
2024-07-03,25.962110139375955
2024-07-04,26.323499204901164
2024-07-05,25.96362077249383
2024-07-06,25.352740567316268
2024-07-07,31.616487739014673
2024-07-08,30.872605108535627
2024-07-09,30.146224781680445
2024-07-10,30.673845531360524
2024-07-11,29.952141682117986
2024-07-12,29.24741830718471
2024-07-13,28.55927588464035
2024-07-14,29.411768039002855
2024-07-15,28.719758744469658
2024-07-16,28.0440312614578
2024-07-17,27.384202506403934
2024-07-18,26.739898409054838
2024-07-19,26.110753700399414
2024-07-20,30.493237292513687
2024-07-21,29.959158008569222
2024-07-22,29.25426955130865
2024-07-23,28.56596593054572
2024-07-24,27.893856933050497
2024-07-25,27.23756152665219
2024-07-26,26.596707644224313
2024-07-27,25.970931972752325
2024-07-28,25.359879747364136
2024-07-29,30.327944516701486
2024-07-30,30.13060774316917
2024-07-31,29.42168536282954
2024-08-01,28.729442730393778
2024-08-02,28.05348739952664
2024-08-03,28.417871674567145
2024-08-04,27.74924708513159
2024-08-05,33.219649315422615
2024-08-06,32.43804699702676
2024-08-07,31.674834462891454
2024-08-08,32.18815482497849
2024-08-09,31.430821832170288
2024-08-10,30.691307607325474
2024-08-11,29.96919290488793
2024-08-12,29.264068343442357
2024-08-13,28.575534173627677
2024-08-14,27.903200051511035
2024-08-15,27.246684817293943
2024-08-16,26.605616279225085
2024-08-17,25.9796310025973
2024-08-18,40.707499603685825
2024-08-19,39.749720797406624
2024-08-20,38.814476910999396
2024-08-21,37.90123773580813
2024-08-22,37.009485538092214
2024-08-23,36.73844522878844
2024-08-24,35.87405157753611
2024-08-25,35.02999565096625
2024-08-26,34.20579893671976
2024-08-27,34.46421596949855
2024-08-28,33.65333109688342
2024-08-29,34.105757145413385
2024-08-30,33.30330620433361
2024-08-31,32.519735580441754
2024-09-01,31.754601051718925
2024-09-02,31.007468847941077
2024-09-03,30.277915404765913
2024-09-04,30.1138888753388
2024-09-05,29.405359861760303
2024-09-06,28.713501340829257
2024-09-07,28.037921083970993
2024-09-08,27.378236091087647
2024-09-09,26.734072373427676
2024-09-10,26.105064741564064
2024-09-11,25.49085659836107
2024-09-12,24.891099736812098
2024-09-13,24.30545414263412
2024-09-14,23.73358780150669
2024-09-15,23.175176510846345
2024-09-16,22.62990369600958
2024-09-17,22.09746023082031
2024-09-18,21.57754426231998
2024-09-19,21.069861039641022
2024-09-20,20.574122746906657
2024-09-21,20.09004834006223
2024-09-22,19.617363387545666
2024-09-23,19.15579991470668
2024-09-24,18.70509625188653
2024-09-25,18.264996886072193
2024-09-26,17.835252316040886
2024-09-27,17.415618910912773
2024-09-28,17.0058587720317
2024-09-29,16.605739598095642
2024-09-30,16.215034553460395
2024-10-01,15.833522139541875
2024-10-02,15.46098606924409
2024-10-03,15.097215144341613
2024-10-04,14.742003135747044
2024-10-05,14.395148666595576
2024-10-06,14.056455098080372
2024-10-07,13.725730417974065
2024-10-08,13.402787131773135
2024-10-09,13.087442156403494
2024-10-10,12.779516716426992
2024-10-11,12.478836242690003
2024-10-12,12.185230273356648
2024-10-13,11.898532357270541
2024-10-14,11.618579959590258
2024-10-15,11.345214369645053
2024-10-16,11.078280610958572
2024-10-17,10.817627353389561
2024-10-18,10.563106827339746
2024-10-19,10.314574739980268
2024-10-20,10.071890193449155
2024-10-21,9.834915604973485
2024-10-22,9.603516628870926
2024-10-23,9.377562080386458
2024-10-24,9.156923861321083
2024-10-25,8.94147688741037
2024-10-26,8.731099017411655
2024-10-27,8.525670983859703
2024-10-28,8.325076325451574
2024-10-29,8.129201321022359
2024-10-30,7.937934925074347
2024-10-31,7.751168704823096
2024-11-01,7.568796778724693
2024-11-02,7.390715756449366
2024-11-03,7.216824680267423
2024-11-04,23.23700811721125
2024-11-05,23.461969332788154
2024-11-06,23.995468459758836
2024-11-07,24.601306051945116
2024-11-08,24.022478814390887
2024-11-09,24.064027068565775
2024-11-10,23.49784109928766
2024-11-11,22.944976530907823
2024-11-12,22.4051199333317
2024-11-13,21.8779652509462
2024-11-14,21.615295292075995
2024-11-15,21.578321983833
2024-11-16,21.07062046267859
2024-11-17,20.88353983153024
2024-11-18,20.392185362563637
2024-11-19,20.164473298473094
2024-11-20,19.998712781743354
2024-11-21,19.99977493335597
2024-11-22,19.781295624804752
2024-11-23,19.624550632448944
2024-11-24,19.634416188353025
