Date,WorkoutType,Title,HeartRateAverage,TimeTotalInHours,DistanceInMeters,Calories
2022-09-04,Bike,Saint-Mandé Ciclismo,140.0,0.7594444444444445,17460.0,405.0
2022-09-11,Run,Corsa,120.0,0.09808333333333334,690.0,49.0
2022-09-13,Run,Corsa su tapis roulant,107.0,0.3386111111111111,1130.0,122.0
2022-09-19,Run,Corsa,131.0,0.5577777777777778,990.0,298.0
2022-09-19,Run,Corsa su tapis roulant,100.0,0.43027777777777776,2080.0,125.0
2022-09-20,Bike,Vincennes Ciclismo,134.0,0.7408333333333333,15750.0,392.0
2022-09-22,Run,Vincennes Corsa,141.0,0.3211111111111111,2690.0,208.0
2022-09-24,Run,Vincennes Corsa,151.0,0.5844444444444444,5410.0,406.0
2022-09-25,Bike,Vincennes Ciclismo,146.0,1.0847222222222221,25260.0,632.0
2022-09-30,Run,Corsa su tapis roulant,154.0,0.4136111111111111,2710.0,298.0
2022-10-07,Run,Corsa su tapis roulant,102.0,0.19416666666666665,600.0,63.0
2022-10-08,Run,Vincennes Corsa,143.0,1.0730555555555557,9200.0,680.0
2022-10-12,Run,Corsa su tapis roulant,140.0,0.7097222222222223,2450.0,358.0
2022-10-16,Run,Corsa su tapis roulant,139.0,0.8488888888888889,3860.0,481.0
2022-10-21,Run,Corsa su tapis roulant,143.0,0.47305555555555556,2210.0,285.0
2022-10-23,Bike,Vincennes - FTP Test,152.0,0.9044444444444445,23880.0,597.0
2022-10-25,Run,Vincennes - FTP Test,159.0,0.6441666666666667,6400.0,479.0
2022-10-26,Swim,Nuoto in piscina,145.0,0.5155555555555555,1300.0,294.0
2022-10-28,Bike,Vincennes - FTP Test,143.0,0.9083333333333333,23970.0,534.0
2022-10-30,Bike,Saint-Mandé - Vo2 building duration intervals,133.0,0.3358333333333333,2710.0,193.0
2022-10-30,Swim,Nuoto in piscina,139.0,0.8461111111111111,2350.0,578.0
2022-11-02,Bike,Saint-Mandé - Vo2 building duration intervals,137.0,0.8261111111111111,19830.0,442.0
2022-11-04,Run,Zone 1 Run,137.0,1.0072222222222222,5810.0,568.0
2022-11-11,Run,Corsa,139.0,0.405,2630.0,257.0
2022-11-13,Bike,Paris Ciclismo,139.0,0.8277777777777777,19930.0,441.0
2022-11-17,Run,Entrenamiento en cinta,160.0,0.48055555555555557,3260.0,369.0
2022-11-20,Swim,Natación en piscina,145.0,0.49416666666666664,1300.0,309.0
2022-12-01,Swim,Natación en piscina,127.0,0.17333333333333334,675.0,167.0
2022-12-16,Bike,Los Santos Ciclismo,145.0,0.6597222222222222,14640.0,413.0
2022-12-17,Run,Los Santos Carrera,150.0,0.25416666666666665,2400.0,193.0
2022-12-19,Bike,Los Santos Ciclismo,157.0,0.5952777777777778,14470.0,434.0
2022-12-22,Run,Los Santos - Long Zone 2 Run,156.0,0.8080555555555555,6660.0,560.0
2022-12-24,Bike,Piedecuesta - Bike Test,155.0,0.9688888888888889,21190.0,640.0
2022-12-24,Swim,Natación en piscina,128.0,0.3086111111111111,1325.0,352.0
2022-12-25,Run,Los Santos - Zone 1 Run,152.0,1.1688888888888889,8490.0,718.0
2022-12-26,Bike,Los Santos - Vo2 building duration intervals,134.0,0.9330555555555555,11380.0,463.0
2022-12-27,Swim,Natación en piscina,120.0,1.5169444444444444,6200.0,1683.0
2022-12-29,Swim,Natación en piscina,120.0,0.5052777777777778,1950.0,537.0
2022-12-29,Bike,Los Santos - Base Build Pyramid,142.0,0.7241666666666666,9430.0,440.0
2022-12-29,Run,Los Santos - Zone 4 Pyramid Run,150.0,0.8075,6100.0,498.0
2023-01-04,Run,Los Santos - Run Test,140.0,0.49,3550.0,281.0
2023-01-05,Swim,Natación en piscina,119.0,0.4886111111111111,1825.0,495.0
2023-01-07,Run,Los Santos - Zone 1 Run,136.0,0.9963888888888889,6760.0,529.0
2023-01-08,Bike,Los Santos - Vo2 building duration intervals,145.0,0.9002777777777777,20750.0,549.0
2023-01-11,Bike,Los Santos - Base Build Pyramid,147.0,1.001111111111111,22520.0,628.0
2023-01-12,Bike,Los Santos - Vo2 intervals,142.0,0.7561111111111111,17350.0,466.0
2023-01-13,Swim,Natación en piscina,122.0,0.5280555555555555,1650.0,460.0
2023-01-13,Run,Los Santos - Zone 1 Run,132.0,0.5161111111111111,3060.0,258.0
2023-01-14,Bike,Los Santos - Muscular Endurance,140.0,1.3994444444444445,30420.0,729.0
2023-01-15,Swim,Natación en piscina,141.0,1.186388888888889,4275.0,1187.0
2023-01-15,Run,Los Santos - Zone 2 Run,142.0,0.7141666666666666,5250.0,415.0
2023-02-12,Run,Carrera,122.0,0.06055555555555556,410.0,32.0
2023-03-14,Run,Carrera,135.0,0.7136111111111111,3870.0,381.0
2023-03-15,Run,Carrera,110.0,0.35944444444444446,1230.0,136.0
2023-03-17,Swim,Natación en piscina,140.0,0.5022222222222222,1400.0,340.0
2023-03-17,Run,Carrera,139.0,0.4988888888888889,1570.0,259.0
2023-03-19,Run,Carrera,138.0,0.8408333333333333,3260.0,476.0
2023-03-21,Bike,Vincennes - Base Building,142.0,0.6963888888888888,17700.0,431.0
2023-03-21,Swim,Natación en piscina,140.0,0.5138888888888888,1025.0,258.0
2023-03-22,Run,Vincennes - Run Test,148.0,0.8163888888888889,7090.0,542.0
2023-03-23,Swim,Natación en piscina,141.0,0.4791666666666667,1300.0,339.0
2023-03-25,Bike,Saint-Mandé - Bike Test,149.0,0.8675,23880.0,588.0
2023-03-25,Run,Zone 1 Run,123.0,1.1555555555555554,3770.0,501.0
2023-03-26,Swim,Natación en piscina,139.0,0.9866666666666667,2725.0,691.0
2023-03-28,Bike,Zone 1 easy effort spin,131.0,0.5961111111111111,0.0,328.0
2023-03-28,Run,Zone 4 Pyramid Run,142.0,0.6522222222222223,2960.0,386.0
2023-03-29,Bike,Saint-Mandé - Base Build Pyramid,137.0,0.7997222222222222,20820.0,462.0
2023-04-01,Bike,Saint-Mandé - Muscular Endurance,138.0,0.65,17380.0,387.0
2023-04-07,Run,Vincennes - Zone 1 Run,131.0,0.7005555555555556,5700.0,369.0
2023-04-08,Bike,Vincennes - Muscular Endurance broken interv,135.0,1.3255555555555556,36480.0,710.0
2023-04-09,Run,Long Zone 2 Run,128.0,1.2497222222222222,6950.0,614.0
2023-04-10,Swim,Natación en piscina,129.0,1.0977777777777777,3075.0,763.0
2023-04-15,Bike,Paris - Muscular Endurance broken interv,137.0,1.6588888888888889,39830.0,848.0
2023-04-15,Swim,Natación en piscina,129.0,0.6658333333333334,1850.0,439.0
2023-04-18,Run,Saint-Mandé - Run Test,143.0,0.6222222222222222,5690.0,394.0
2023-04-19,Bike,Vincennes - Base Build Pyramid,121.0,0.7413888888888889,12330.0,344.0
2023-04-20,Bike,Vincennes - Bike Test,107.0,0.9025,24000.0,312.0
2023-04-22,Swim,Natación en piscina,123.0,0.7675,2000.0,455.0
2023-04-22,Run,Zone 2 Run,143.0,1.1255555555555556,5230.0,693.0
2023-04-23,Bike,Vo2 building duration intervals,139.0,1.0216666666666667,0.0,565.0
2023-04-24,Run,Entrenamiento en cinta,116.0,0.36194444444444446,790.0,152.0
2023-04-25,Bike,Base Building steady effort,114.0,0.45111111111111113,0.0,192.0
2023-04-25,Run,Zone 4 Pyramid Run,129.0,0.2788888888888889,1310.0,155.0
2023-04-27,Run,Saint-Mandé - Zone 3 Intervals,144.0,0.8361111111111111,7160.0,538.0
2023-04-27,Run,Carrera,108.0,0.18194444444444444,130.0,71.0
2023-04-29,Swim,Natación en piscina,125.0,0.975,2725.0,541.0
2023-04-29,Run,Zone 1 Run,133.0,0.8330555555555555,3670.0,458.0
2023-04-30,Bike,Paris - Vo2 step up intervals with found,128.0,1.7027777777777777,35800.0,768.0
2023-05-02,Run,Zone 3 Intervals,145.0,0.5930555555555556,2900.0,384.0
2023-05-04,Bike,Paris - Vo2 short recovery intervals,133.0,1.2572222222222222,27570.0,626.0
2023-05-06,Bike,Paris - Muscular Endurance broken interv,137.0,1.606111111111111,44090.0,892.0
2023-05-07,Swim,Natación en piscina,125.0,1.0008333333333332,2350.0,504.0
2023-05-07,Run,Zone 2 Run,148.0,1.1188888888888888,10000.0,782.0
2023-05-09,Bike,Ciclismo en sala,80.0,0.004,0.0,1.0
2023-05-09,Bike,Ciclismo en sala,97.0,0.08205555555555555,0.0,26.0
2023-05-09,Run,Zone 4 Pyramid Run,134.0,0.5541666666666667,3820.0,320.0
2023-05-10,Swim,Natación en piscina,130.0,0.8258333333333333,2325.0,441.0
2023-05-12,Swim,Natación en piscina,132.0,1.1597222222222223,3425.0,624.0
